classifier_name,dataset_name,accuracy
SpikingVGG9,cifar10-41,0.8953
SpikingVGG9,cifar10-42,0.8986
SpikingVGG9,cifar10-43,0.8934
SpikingVGG9,imagenet-41,0.5501
SpikingVGG9,imagenet-42,0.5351
SpikingVGG9,imagenet-43,0.5489
SpikingVGG9,cifar10dvs-41,0.732
SpikingVGG9,cifar10dvs-42,0.718
SpikingVGG9,cifar10dvs-43,0.717
SpikingVGG9,dvsgesture-41,0.9375
SpikingVGG9,dvsgesture-42,0.9444
SpikingVGG9,dvsgesture-43,0.9444
SpikingVGG16,cifar10-41,0.8928
SpikingVGG16,cifar10-42,0.8881
SpikingVGG16,cifar10-43,0.8896
SpikingVGG16,imagenet-41,0.5471
SpikingVGG16,imagenet-42,0.5193
SpikingVGG16,imagenet-43,0.4611
SpikingVGG16,cifar10dvs-41,0.6815
SpikingVGG16,cifar10dvs-42,0.6745
SpikingVGG16,cifar10dvs-43,0.6865
SpikingVGG16,dvsgesture-41,0.8993
SpikingVGG16,dvsgesture-42,0.8254
SpikingVGG16,dvsgesture-43,0.9201
SEW-ResNet34,cifar10-41,0.8329
SEW-ResNet34,cifar10-42,0.8325
SEW-ResNet34,cifar10-43,0.8356
SEW-ResNet34,imagenet-41,0.5724
SEW-ResNet34,imagenet-42,0.5619
SEW-ResNet34,imagenet-43,0.5887
SEW-ResNet34,cifar10dvs-41,0.6545
SEW-ResNet34,cifar10dvs-42,0.6506
SEW-ResNet34,cifar10dvs-43,0.6445
SEW-ResNet34,dvsgesture-41,0.9167
SEW-ResNet34,dvsgesture-42,0.9271
SEW-ResNet34,dvsgesture-43,0.9271
SEW-ResNet50,cifar10-41,0.818
SEW-ResNet50,cifar10-42,0.8244
SEW-ResNet50,cifar10-43,0.8208
SEW-ResNet50,imagenet-41,0.5903
SEW-ResNet50,imagenet-42,0.5696
SEW-ResNet50,imagenet-43,0.5863
SEW-ResNet50,cifar10dvs-41,0.563
SEW-ResNet50,cifar10dvs-42,0.596
SEW-ResNet50,cifar10dvs-43,0.5985
SEW-ResNet50,dvsgesture-41,0.8889
SEW-ResNet50,dvsgesture-42,0.8646
SEW-ResNet50,dvsgesture-43,0.9062
MS-ResNet34,cifar10-41,0.8279
MS-ResNet34,cifar10-42,0.8262
MS-ResNet34,cifar10-43,0.8297
MS-ResNet34,imagenet-41,0.5517
MS-ResNet34,imagenet-42,0.5296
MS-ResNet34,imagenet-43,0.5465
MS-ResNet34,cifar10dvs-41,0.7035
MS-ResNet34,cifar10dvs-42,0.6916
MS-ResNet34,cifar10dvs-43,0.6905
MS-ResNet34,dvsgesture-41,0.934
MS-ResNet34,dvsgesture-42,0.9236
MS-ResNet34,dvsgesture-43,0.934
MS-ResNet50,cifar10-41,0.8374
MS-ResNet50,cifar10-42,0.8386
MS-ResNet50,cifar10-43,0.836
MS-ResNet50,imagenet-41,0.5354
MS-ResNet50,imagenet-42,0.5186
MS-ResNet50,imagenet-43,0.5425
MS-ResNet50,cifar10dvs-41,0.67
MS-ResNet50,cifar10dvs-42,0.6987
MS-ResNet50,cifar10dvs-43,0.6745
MS-ResNet50,dvsgesture-41,0.8993
MS-ResNet50,dvsgesture-42,0.9306
MS-ResNet50,dvsgesture-43,0.9306
Spikformer256,cifar10-41,0.9111
Spikformer256,cifar10-42,0.9106
Spikformer256,cifar10-43,0.9094
Spikformer256,imagenet-41,0.5166
Spikformer256,imagenet-42,0.5215
Spikformer256,imagenet-43,0.5177
Spikformer256,cifar10dvs-41,0.717
Spikformer256,cifar10dvs-42,0.71
Spikformer256,cifar10dvs-43,0.7185
Spikformer256,dvsgesture-41,0.9722
Spikformer256,dvsgesture-42,0.9549
Spikformer256,dvsgesture-43,0.9722
Spikformer384,cifar10-41,0.9185
Spikformer384,cifar10-42,0.9274
Spikformer384,cifar10-43,0.9163
Spikformer384,imagenet-41,0.5313
Spikformer384,imagenet-42,0.5336
Spikformer384,imagenet-43,0.5337
Spikformer384,cifar10dvs-41,0.6965
Spikformer384,cifar10dvs-42,0.698
Spikformer384,cifar10dvs-43,0.697
Spikformer384,dvsgesture-41,0.9618
Spikformer384,dvsgesture-42,0.9514
Spikformer384,dvsgesture-43,0.9688
Meta-Spikeformer256,cifar10-41,0.8707
Meta-Spikeformer256,cifar10-42,0.8758
Meta-Spikeformer256,cifar10-43,0.8707
Meta-Spikeformer256,imagenet-41,0.5816
Meta-Spikeformer256,imagenet-42,0.5775
Meta-Spikeformer256,imagenet-43,0.5789
Meta-Spikeformer256,cifar10dvs-41,0.6885
Meta-Spikeformer256,cifar10dvs-42,0.6841
Meta-Spikeformer256,cifar10dvs-43,0.687
Meta-Spikeformer256,dvsgesture-41,0.9524
Meta-Spikeformer256,dvsgesture-42,0.9532
Meta-Spikeformer256,dvsgesture-43,0.961
Meta-Spikeformer384,cifar10-41,0.8746
Meta-Spikeformer384,cifar10-42,0.8761
Meta-Spikeformer384,cifar10-43,0.8758
Meta-Spikeformer384,imagenet-41,0.5843
Meta-Spikeformer384,imagenet-42,0.5889
Meta-Spikeformer384,imagenet-43,0.5856
Meta-Spikeformer384,cifar10dvs-41,0.6953
Meta-Spikeformer384,cifar10dvs-42,0.689
Meta-Spikeformer384,cifar10dvs-43,0.6945
Meta-Spikeformer384,dvsgesture-41,0.9588
Meta-Spikeformer384,dvsgesture-42,0.955
Meta-Spikeformer384,dvsgesture-43,0.9659
QKFormer256,cifar10-41,0.8793
QKFormer256,cifar10-42,0.8735
QKFormer256,cifar10-43,0.8735
QKFormer256,imagenet-41,0.5656
QKFormer256,imagenet-42,0.553
QKFormer256,imagenet-43,0.5473
QKFormer256,cifar10dvs-41,0.713
QKFormer256,cifar10dvs-42,0.7198
QKFormer256,cifar10dvs-43,0.7265
QKFormer256,dvsgesture-41,0.9757
QKFormer256,dvsgesture-42,0.9653
QKFormer256,dvsgesture-43,0.9826
QKFormer384,cifar10-41,0.8906
QKFormer384,cifar10-42,0.8806
QKFormer384,cifar10-43,0.8919
QKFormer384,imagenet-41,0.5832
QKFormer384,imagenet-42,0.568
QKFormer384,imagenet-43,0.5723
QKFormer384,cifar10dvs-41,0.662
QKFormer384,cifar10dvs-42,0.6945
QKFormer384,cifar10dvs-43,0.6805
QKFormer384,dvsgesture-41,0.9792
QKFormer384,dvsgesture-42,0.9618
QKFormer384,dvsgesture-43,0.9757
SpikingResFormer256,cifar10-41,0.8722
SpikingResFormer256,cifar10-42,0.8673
SpikingResFormer256,cifar10-43,0.8696
SpikingResFormer256,imagenet-41,0.5951
SpikingResFormer256,imagenet-42,0.5971
SpikingResFormer256,imagenet-43,0.5744
SpikingResFormer256,cifar10dvs-41,0.708
SpikingResFormer256,cifar10dvs-42,0.7149
SpikingResFormer256,cifar10dvs-43,0.7245
SpikingResFormer256,dvsgesture-41,0.9514
SpikingResFormer256,dvsgesture-42,0.9514
SpikingResFormer256,dvsgesture-43,0.934
SpikingResFormer384,cifar10-41,0.8749
SpikingResFormer384,cifar10-42,0.8753
SpikingResFormer384,cifar10-43,0.8756
SpikingResFormer384,imagenet-41,0.5844
SpikingResFormer384,imagenet-42,0.5876
SpikingResFormer384,imagenet-43,0.5911
SpikingResFormer384,cifar10dvs-41,0.722
SpikingResFormer384,cifar10dvs-42,0.722
SpikingResFormer384,cifar10dvs-43,0.732
SpikingResFormer384,dvsgesture-41,0.9306
SpikingResFormer384,dvsgesture-42,0.9201
SpikingResFormer384,dvsgesture-43,0.941
