classifier_name,dataset_name,accuracy,sensing,
LeNet,cifar10,82.34,vision,
SpikingVGG9,cifar10,89.53,vision,
SEW-ResNet34,cifar10,83.29,vision,
MS-ResNet34,cifar10,82.79,vision,
Spikformer256,cifar10,91.11,vision,
Meta-Spikeformer256,cifar10,87.07 ,vision,
QKFormer256,cifar10,87.93,vision,
SpikingResFormer256,cifar10,87.22,vision,
LeNet,svhn,91.87,vision,
SpikingVGG9,svhn,95.2,vision,
SEW-ResNet34,svhn,93.08,vision,
MS-ResNet34,svhn,91.73,vision,
Spikformer256,svhn,96.02,vision,
Meta-Spikeformer256,svhn,94.93,vision,
QKFormer256,svhn,94.51,vision,
SpikingResFormer256,svhn,93.97,vision,
LeNet,mnist,99.44,vision,
SpikingVGG9,mnist,99.59,vision,
SEW-ResNet34,mnist,99.52,vision,
MS-ResNet34,mnist,99.42,vision,
Spikformer256,mnist,99.63,vision,
Meta-Spikeformer256,mnist,99.48,vision,
QKFormer256,mnist,99.52,vision,
SpikingResFormer256,mnist,99.47,vision,
LeNet,fashionmnist,91.95,vision,
SpikingVGG9,fashionmnist,93.46,vision,
SEW-ResNet34,fashionmnist,91.95,vision,
MS-ResNet34,fashionmnist,91.8,vision,
Spikformer256,fashionmnist,93.71,vision,
Meta-Spikeformer256,fashionmnist,92.71,vision,
QKFormer256,fashionmnist,93.04,vision,
SpikingResFormer256,fashionmnist,92.71,vision,
LeNet,uthar,98.49,wireless,
SpikingVGG9,uthar,99.8,wireless,
SEW-ResNet34,uthar,99.4,wireless,
MS-ResNet34,uthar,99.7,wireless,
Spikformer256,uthar,99.6,wireless,
Meta-Spikeformer256,uthar,99.8,wireless,
QKFormer256,uthar,99.5,wireless,
SpikingResFormer256,uthar,99.7,wireless,
LeNet,fihumanid,97.25,wireless,
SpikingVGG9,fihumanid,99.63,wireless,
SEW-ResNet34,fihumanid,99.63,wireless,
MS-ResNet34,fihumanid,99.08,wireless,
Spikformer256,fihumanid,98.9,wireless,
Meta-Spikeformer256,fihumanid,97.99,wireless,
QKFormer256,fihumanid,99.45,wireless,
SpikingResFormer256,fihumanid,99.45,wireless,
LeNet,bullydetect,56.03,wireless,
SpikingVGG9,bullydetect,83.26,wireless,
SEW-ResNet34,bullydetect,77.1,wireless,
MS-ResNet34,bullydetect,77.19,wireless,
Spikformer256,bullydetect,79.82,wireless,
Meta-Spikeformer256,bullydetect,80.89,wireless,
QKFormer256,bullydetect,83.44,wireless,
SpikingResFormer256,bullydetect,87.46,wireless,
LeNet,aril,84.89,wireless,
SpikingVGG9,aril,94.6,wireless,
SEW-ResNet34,aril,87.77,wireless,
MS-ResNet34,aril,91.37,wireless,
Spikformer256,aril,92.81,wireless,
Meta-Spikeformer256,aril,94.6,wireless,
QKFormer256,aril,94.96,wireless,
SpikingResFormer256,aril,91.37,wireless,
LeNet,ucihar,96,motion,
SpikingVGG9,ucihar,92.16,motion,
SEW-ResNet34,ucihar,92.47,motion,
MS-ResNet34,ucihar,92.43,motion,
Spikformer256,ucihar,94.37,motion,
Meta-Spikeformer256,ucihar,92.64,motion,
QKFormer256,ucihar,92.81,motion,
SpikingResFormer256,ucihar,96.81,motion,
LeNet,motionsense,98.93,motion,
SpikingVGG9,motionsense,98.12,motion,
SEW-ResNet34,motionsense,97.6,motion,
MS-ResNet34,motionsense,97.48,motion,
Spikformer256,motionsense,99.7,motion,
Meta-Spikeformer256,motionsense,97.51,motion,
QKFormer256,motionsense,97.6,motion,
SpikingResFormer256,motionsense,99.52,motion,
LeNet,shoaib,99.27,motion,
SpikingVGG9,shoaib,98.84,motion,
SEW-ResNet34,shoaib,97.95,motion,
MS-ResNet34,shoaib,98.02,motion,
Spikformer256,shoaib,99.89,motion,
Meta-Spikeformer256,shoaib,97.73,motion,
QKFormer256,shoaib,98.16,motion,
SpikingResFormer256,shoaib,99.86,motion,
LeNet,hhar,97.42,motion,
SpikingVGG9,hhar,96.4,motion,
SEW-ResNet34,hhar,95.05,motion,
MS-ResNet34,hhar,95.75,motion,
Spikformer256,hhar,99.49,motion,
Meta-Spikeformer256,hhar,94.47,motion,
QKFormer256,hhar,94.48,motion,
SpikingResFormer256,hhar,99.26,motion,
LeNet,cifar10dvs,66.7,neuromorphic,
SpikingVGG9,cifar10dvs,73.2,neuromorphic,
SEW-ResNet34,cifar10dvs,65.45,neuromorphic,
MS-ResNet34,cifar10dvs,70.35,neuromorphic,
Spikformer256,cifar10dvs,71.7,neuromorphic,
Meta-Spikeformer256,cifar10dvs,68.8500 ,neuromorphic,
QKFormer256,cifar10dvs,71.3,neuromorphic,
SpikingResFormer256,cifar10dvs,70.8,neuromorphic,
LeNet,dvsgesture,95.14,neuromorphic,
SpikingVGG9,dvsgesture,93.75,neuromorphic,
SEW-ResNet34,dvsgesture,91.67,neuromorphic,
MS-ResNet34,dvsgesture,93.4,neuromorphic,
Spikformer256,dvsgesture,97.22,neuromorphic,
Meta-Spikeformer256,dvsgesture,95.2400 ,neuromorphic,
QKFormer256,dvsgesture,97.57,neuromorphic,
SpikingResFormer256,dvsgesture,95.14,neuromorphic,
LeNet,shd,89.36,neuromorphic,
SpikingVGG9,shd,94.52,neuromorphic,
SEW-ResNet34,shd,90.95,neuromorphic,
MS-ResNet34,shd,89.97,neuromorphic,
Spikformer256,shd,89.36,neuromorphic,
Meta-Spikeformer256,shd,90.5,neuromorphic,
QKFormer256,shd,92.14,neuromorphic,
SpikingResFormer256,shd,91.65,neuromorphic,
LeNet,ssc,65.84,neuromorphic,
SpikingVGG9,ssc,76.22,neuromorphic,
